TopLevel,SecondLevel,ThirdLevel,FourthLevel,FifthLevel,Keyword,StartRank,EndRank,RankChange,EndClicks,ClicksChange,SearchVolume,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023,01/2024,02/2024,03/2024,04/2024,05/2024,06/2024,07/2024,08/2024,09/2024,10/2024,11/2024,12/2024
acc,,,,,acc levy calculator,,3,,0,0,,,,,,6,,10,,6,,10,,,10,,10,,10,10,,10,10,,10,,10,10,,10,9,,10,10,,11,,,,5,,5,,4,,3,
acc,,,,,acc full form,,10,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,11,,12,,9,,10,
acc,,,,,acc rates 2024,,12,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
acc,,,,,acc workplace injury,,36,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,36
acc,,,,,acc online,,12,,0,0,,,,,,37,,39,,20,,26,,,32,,27,,24,23,,27,19,,18,,19,19,,20,30,,30,33,,18,,,,14,,14,,11,,12,
acc,,,,,can you be made redundant while on acc,,23,,0,0,,,11,,,13,,15,,14,,,10,,,9,,14,13,,,,,,,,,,,,,,,,16,,15,,18,,14,,15,,,,23
acc,,,,,what is acc levy,,1,,0,0,,,,1,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,2,3,,2,,1,,1,,,1,
acc,,,,,what is acc earners levy,,1,,0,0,,,4,,,3,,4,,4,,4,,,,3,3,,3,,1,3,,3,2,,3,,2,1,,1,1,,1,2,,1,,2,,2,,2,,1,
acc,,,,,acc opening hours,,28,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,34,,25,,13,,23,,28
acc,,,,,acc help,,41,,0,0,,,,53,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,71,,46,,41,,
acc,,,,,acc self employed,,3,,0,0,,,,,,,,,,,,,,,,,,,,,,2,,6,2,,2,2,,2,5,,5,5,,5,,,,3,,3,,3,,3,
acc,,,,,acc employer obligations,,16,,0,0,,,6,,,6,,7,,6,,,4,,,6,,4,7,,6,5,,3,,3,6,,5,6,,6,12,,11,,16,,15,,14,,11,,16,16,
acc,,,,,how to apply acc,,15,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,19,18,,19,,20,,14,,13,,15
acc,,,,,what does acc not cover,,39,,0,0,,,30,,,25,,,25,,,18,,,26,,30,,23,20,,15,16,,18,23,,22,,20,29,,33,38,,49,,,88,,,52,,58,,39,
acc,,,,,register for acc,,22,,0,0,,,,,,,,,,,,,,,,25,,23,22,,18,,,,,,,,31,34,,41,24,,37,42,,29,,17,,20,,21,,22,
acc,,,,,acc equipment list,,25,,0,0,,,,,,,,,,,,,,,,,,,,,,,,14,,,24,,13,,27,,,15,30,,36,,24,,21,,21,,21,,25
acc,,,,,ird acc,,14,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,10,,13,,14
acc,,,,,acc pay schedule,,36,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,13,,15,21,,14,,13,,26,,24,,36
acc,,,,,acc support,,72,,0,0,,,,91,,,89,,,,33,,,,,,,,,,,,,,,,,,35,,,,,64,,,87,,94,,80,,65,,51,,72
acc,,,,,acc levy rates,,5,,0,0,,,,,,7,,5,,5,,3,,,3,,4,,4,5,,3,,3,4,,4,3,,4,5,,6,6,,6,,,,6,,6,,5,,5,
acc,,,,,new zealand acc,,13,,0,0,,,,,,8,,9,11,,,11,,,,,,,,,,9,7,,7,,9,10,,7,17,,13,11,,10,,,,13,,13,,11,,13,
acc,,,,,acc tauranga,,90,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,90,
acc,,,,,acc: treatment injury payout,,36,,0,0,,,,,,,,,,,17,,,26,,39,,34,31,,21,,,25,24,,19,31,,36,,31,33,,46,79,,74,,75,,70,,39,,36,
acc,,,,,read codes acc,,34,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,18,,20,39,,34,,36,,35,,27,,34,
acc,,,,,acc pre employment check,,65,,0,0,,,,,,,,,,,,,,,,44,,62,62,,49,39,,45,,72,,,61,34,,48,47,,59,,82,,76,,,,79,,56,65,
acc,,,,,acc funeral grant,,84,,0,0,,,,,,,,,,,,,,,,,,,,,,,,94,,,57,,,67,,,,50,,,,,,,,,97,,84,,
acc,,,,,acc independence allowance rates 2023,,29,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,34,,,,29,,
acc,,,,,acc weekly compensation,,11,,0,0,,,,,,12,,11,,15,,9,,,12,,9,,9,10,,7,7,,9,6,,6,,6,14,,19,17,,15,20,,21,,,15,,9,,11,
acc,,,,,acc work-related injury,,33,,0,0,,,,,,,,,,,,,,,,,12,12,,10,11,,7,12,,18,,13,14,,16,26,,32,,18,64,,17,,40,,26,,23,,33
acc,,,,,how does acc work,,7,,0,0,,,8,,,8,,8,,7,,3,,,9,,8,,13,11,,11,,8,12,,11,11,,5,10,,12,11,,12,,,,10,,7,,7,,7,
acc,,,,,acc levies for self-employed,,3,,0,0,,,,,,1,,4,,4,,3,,,,,,,,,,3,,3,3,,2,,,1,,2,,,4,,,,,,,,2,,3,,3
acc,,,,,work-related injury acc,,41,,0,0,,,,,,,,,,22,,11,,,14,,15,,10,13,,12,,17,18,,23,,27,,,,,,,,,,,,,,,,41,,
acc,,,,,acc levies,,2,,0,0,,,,,,6,5,,1,,,,,,3,3,,3,,3,1,,1,1,,1,,4,2,,1,1,,1,2,,2,,2,,2,,,,2,,2
acc,,,,,acc pay levy,,4,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,9,,6,6,,4,,4,,3,,3,,4
acc,,,,,what are acc levies,,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,3,,1,,1,,1,,,1,
acc,,,,,acc number,,10,,0,0,,,,,,,19,,13,,,25,,,23,19,,,,21,20,,19,19,,20,,,16,,,9,,7,19,,,,18,,11,,7,,10,,
acc,,,,,acc self-employed,,3,,0,0,,,,,,4,,4,,4,,2,,,2,,2,,2,2,,2,,6,2,,2,2,,2,,7,5,,5,6,,4,,3,,3,,3,,3,
acc,,,,,online acc,,18,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,13,,13,,18,
acc,,,,,acc ebusiness gateway,,23,,0,0,,,,,,,,,,,,,,,,,,68,27,,32,51,,26,,25,34,,37,,37,,,42,,,,,21,,20,,18,,20,,23
acc,,,,,acc levy rates for employees,,7,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,6,6,,6,,6,,5,,,,7
acc,,,,,acc levies calculator,,3,,0,0,,,10,,,5,,10,,6,,10,,,10,,3,10,,10,,10,,,10,,10,,10,10,,11,9,,9,8,,6,,4,,3,,,,,3
acc,,,,,acc invoicing,,17,,0,0,,,25,,,33,,25,,20,,,11,,,21,,20,19,,19,,,,,15,,12,,21,23,,,11,,11,12,,9,,,22,,17,,,17
acc,,,,,work related injury acc,,33,,0,0,,,,,,,,,,,,12,,,13,,18,,11,13,,12,,18,20,,24,23,,26,,18,18,,12,18,,20,,20,,26,,29,,33,
acc,,,,,acc cover,,11,,0,0,,,16,,,20,,16,,17,,14,,,9,,16,,13,15,,12,,11,10,,15,13,,30,,20,26,,19,17,,15,,14,,16,,12,,11,
acc,,,,,acc forms online,,80,,0,0,,,,,,,,,,,,,,,,56,,27,28,,27,27,,24,,29,27,,28,42,,44,,48,62,,70,,59,,,,18,,96,,80
acc,,,,,acc read codes,,33,,0,0,,,,,,30,,26,,24,,23,,,22,,23,25,,23,,18,17,,18,19,,16,16,,21,,21,18,,36,39,,,,,,26,,33,,
acc,,,,,how long does acc cover last,,25,,0,0,,,,,,15,,14,,15,,9,,,13,,11,,15,14,,15,13,,16,,15,14,,12,16,,15,21,,34,,,,32,,22,,21,,25,
acc,,,,,my acc account,,25,,0,0,,,,,,30,,,12,,,,,,77,,,,,,,,,,,,,,20,,,,,,,,,,,,29,,25,,30,,25
acc,,,,,acc injury,,40,,0,0,,,,,,70,,73,,61,,,,,,,,,,,,36,,29,29,,37,35,,61,,44,,50,59,,85,,83,,65,,41,,49,,40
acc,,,,,acc injury at work,,27,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,27
acc,,,,,acc levy rates 2024,,11,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,9,,11
acc,,,,,acc injuries,,54,,0,0,,,,,,,50,,,59,,,46,,,45,,40,38,,29,26,,31,,31,31,,35,,47,,,52,66,,100,,85,,83,,58,,69,,54
acc,,,,,acc auckland,,16,,0,0,,,,,,,,57,,,,,,,,,,,8,,4,12,,15,,11,11,,10,,,,,12,20,,23,,19,,8,,6,,6,,16
acc,,,,,acc travel reimbursement,,68,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,58,,51,,58,,56,,,,68
acc,,,,,how do i find my acc number,,17,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,15,,15,,16,,17
acc,,,,,does acc cover stress leave,,15,,0,0,,,,,,,,,,,,,,,,,,,,,,,,17,,20,,18,14,,19,25,,19,,19,28,,20,,31,,19,,13,,15
acc,,,,,acc impairment rates,,36,,0,0,,,,,,,,,,,,,,,,,,,,,25,,,25,26,,25,41,,30,,,,,53,,48,,41,,34,,25,,33,,36
acc,,,,,acc levies increase,,10,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
acc,acc business,,,,acc business,,3,,20,20,360,,,,,,,,9,,,9,,,3,,6,8,,8,7,,7,,7,8,,6,5,,7,7,,6,,3,4,,3,,4,,3,,3,,
acc,acc business,,,,my acc business,,5,,0,0,,,11,,,10,,17,,8,,10,,,7,,11,,9,11,,12,12,,12,10,,11,,8,6,,14,8,,14,15,,,,,6,5,,5,,
acc,acc business,,,,acc login business,,5,,0,0,,,,,,,,12,,10,,14,,,,20,14,,11,,13,11,,12,8,,8,,8,3,,3,6,,,14,,11,,12,,4,,5,,5,
acc,acc business,,,,acc my business,,7,,0,0,,,,,,10,,10,,7,,,8,,,8,,8,9,,5,7,,15,,9,7,,10,,8,,,8,,8,9,,7,,5,,8,,,,7
acc,acc business,,,,acc business login,,5,,0,0,,,,,,13,10,,11,,,10,,,20,6,,10,,9,9,,12,8,,10,,,4,,8,8,,8,9,,,,14,,6,,3,,6,,5
acc,acc claim,claim,,,acc claim,,48,,0,0,,,,,,32,32,,38,,,34,,44,,50,,51,,49,37,,,39,,47,46,,40,,41,51,,55,67,,75,,61,,71,,47,,48,,
acc,acc claim,claim,,,acc sensitive claims payouts,,73,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,73,,
acc,acc claim,claim,,,acc claims email,,26,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,51,,45,,31,,26,
acc,acc claim,claim,,,how to claim acc,,35,,0,0,,,,,,15,,,20,,,18,,,23,,23,,27,18,,18,14,,18,14,,22,,17,17,,23,31,,35,47,,27,,,33,,34,,35,
acc,acc claim,claim,,,acc claims number,,27,,0,0,,,,,,,,,36,,,33,,,30,,32,,23,27,,28,30,,29,40,,17,,26,31,,17,34,,31,54,,48,,,29,,25,,27,
acc,acc claim,claim,,,acc claim for old injury,,36,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,28,29,,35,39,,65,,,63,,,44,,39,,36,
acc,acc claim,claim,,,acc claims form,,67,,0,0,,,,,,61,,58,58,,,43,,,52,,63,,58,64,,60,,59,55,,57,47,,75,,87,93,,,,,,,,,,,79,,67,
acc,acc claim,claim,,,acc claims,,37,,0,0,,,,,,33,38,,50,,,35,,38,,34,,35,,34,29,,,23,,30,26,,,,25,40,,44,49,,53,,42,,38,,16,,25,,37
acc,acc claim,claim,,,acc sensitive claim payout,,96,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,,68,,96,,
acc,acc claim,claim,,,acc claim number,,34,,0,0,,,,,,33,,21,,,,27,,,33,,46,,41,26,,33,32,,35,22,,26,,29,43,,48,35,,19,40,,55,,,37,,36,,34,
acc,acc claim,claim,,,acc injury claim,,34,,0,0,,,,,,,,,,,,,,,,47,,50,56,,38,41,,29,,40,32,,42,44,,41,,44,65,,79,,58,,44,,38,,29,,34
acc,acc claim,claim,,,claims acc,,21,,0,0,,,,,,,,,,,,,,,,,,,,,,24,24,,22,35,,26,31,,36,33,,50,,40,47,,45,,35,,24,,21,,
acc,acc claim,claim,,,acc claim online,,20,,0,0,,,,,,,,,,,,,,,,23,,25,26,,16,23,,14,,19,15,,24,,25,,,29,,31,38,,26,,30,,27,,20,,
acc,acc claim,claim,,,how to find acc claim number,,44,,0,0,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,54,,,,52,,51,,39,,46,,44
acc,acc claim,claim,,,acc claim form,,70,,0,0,,,,,,51,,49,36,,,31,,,53,,65,,65,60,,57,,51,54,,51,52,,67,,76,84,,78,,,,,,,,,80,,70,
acc,acc contact,,,,acc contact,,34,,2,2,480,,,,,,60,,,27,,,,71,,,,58,,64,46,,,39,,,,,47,29,,,,73,37,,,,29,,23,,19,,22,,34
acc,acc contact,,,,acc contact number,,19,,1,1,160,,,,,,43,,31,,,,,,26,41,,59,,,,,35,,,30,,16,8,,,14,,,33,,,,28,,19,,13,,19,,
acc,acc contact,,,,my acc contact,,28,,0,0,,,,,,,,,,,,34,,27,,30,,28,43,,30,32,,32,,29,26,,17,10,,17,11,,39,37,,40,,31,,19,,24,,28,
acc,acc contact,,,,contact acc,,23,,0,0,,,,,,54,50,,,25,,47,,,,,,,,,,50,50,,47,,50,29,,42,,,48,,,36,,,,42,,32,,24,,23,
acc,acc contact,,,,acc contact hours,,36,,0,0,,,,,,,,,,,,,,,,,,,,,28,,,57,,,72,,63,,35,,,36,,52,48,,45,,33,,53,,38,,36
acc,acc contact,acc business,,,acc business contact,,15,,0,0,,,,12,,,,,,,12,,,12,,13,,34,14,,13,12,,13,,6,10,,13,,13,,,11,17,,16,,16,,11,,9,,12,,15
acc,acc contact,acc claim,claim,,acc claims contact,,23,,0,0,,,69,,,52,,54,,50,,44,,,32,,57,,48,32,,29,,22,39,,45,7,,11,,22,25,,38,58,,58,,,,39,,26,,23,
acc,acc contact,acc claim,claim,,acc claim contact,,33,,0,0,,,,,,,,,,,,,,,,,,,,,,28,,32,65,,43,,34,30,,17,34,,46,69,,34,,,37,,25,,33,,
acc,acc cover plus,,,,acc cover plus extra,,2,,0,0,,,,,,,,,,,,,,,,,,,,,,,2,,2,,2,2,,2,3,,3,3,,3,,,,3,,3,,3,,2,
acc,acc cover plus,,,,acc cover plus,,3,,0,0,,,,,,13,,9,,5,,5,,,2,,,,2,2,,8,9,,2,2,,2,,2,2,,5,4,,5,3,,3,,,3,,3,,3,
acc,acc cover plus,,,,acc cover plus extra calculator,,4,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,4,,,,4
acc,acc nz,,,,acc nz,,5,,75,75,2200,,,,5,,7,,6,,,10,,5,,6,,8,9,,5,,5,3,,3,11,,4,8,,15,15,,11,14,,12,,11,,8,,6,,5,
acc,acc nz,,,,can i resign while on acc nz,,20,,0,0,20,,,,,,,,,,,,,,,4,,4,5,,14,8,,11,,7,6,,7,6,,10,11,,11,13,,21,,11,,6,,19,,20,
acc,acc nz,,,,acc nz login,,19,,0,0,,,22,,,25,,25,,25,,19,,,21,,16,,15,16,,12,,17,14,,19,18,,19,,18,,17,26,,23,,19,,18,,14,,19,,19
acc,acc nz,,,,acc in nz,,10,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,9,,8,,8,,10,,
acc,acc nz,,,,acc levy nz,,2,,0,0,,,,,,,,,,1,,2,,,,3,3,,3,3,,1,,1,2,,2,4,,3,,3,1,,3,2,,3,,2,,2,,3,,2,
acc,acc nz,,,,acc jobs nz,,30,,0,0,,,,,,,,20,19,,,15,,,20,,24,,25,18,,19,15,,14,11,,12,,12,17,,20,18,,22,27,,33,,,32,,31,,30,
acc,acc nz,,,,my acc nz,,12,,0,0,,,,,,,,,12,,,12,,8,,5,,12,,16,,,,15,,,8,,10,,11,20,,23,21,,25,,12,,12,,6,,12,,
acc,acc nz,,,,acc calculator nz,,3,,0,0,,,6,,,9,,,10,,10,,,9,,10,,10,10,,10,10,,10,,6,14,,11,,11,,,,7,,,,,,,,3,,,,3
acc,acc nz,,,,acc login nz,,14,,0,0,,,,,,14,,18,61,,,38,,,46,81,,86,,78,45,,60,40,,26,,33,41,,24,45,,17,24,,34,,24,,21,,8,,14,,
acc,acc nz,,,,my acc login nz,,22,,0,0,,,,,,,,,,,,,,,,,,,,41,,,,45,,,,,40,,,,,35,,52,29,,27,,21,,7,,22,,
acc,acc nz,,,,acc nz support,,67,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,62,,68,,67,
acc,acc nz,,,,what is acc nz,,11,,0,0,,,13,,,7,,7,,6,,,7,,,8,,8,8,,7,,7,,7,,6,7,,8,11,,11,14,,22,,,,20,,12,,11,,11,
acc,acc nz,,,,acc meaning nz,,10,,0,0,,,,8,,9,,,7,,11,,8,,,10,,10,7,,7,,,7,,,,,8,8,,,,11,9,,12,,13,,13,,8,,10,,10
acc,acc nz,,,,acc number nz,,16,,0,0,,,,,,,,,,,,,,,,21,21,,17,17,,13,,20,21,,12,,13,,16,,,12,,20,20,,20,,11,,14,,16,,16
acc,acc nz,,,,what does acc stand for nz,,10,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
acc,acc nz,,,,accruing annual leave while on acc nz,,17,,0,0,,,,12,,,13,,13,,13,,,13,,13,,14,17,,,,,,,,,,,,,,,,17,,22,,20,,15,,13,,17,,17
acc,acc nz,,,,what is acc in nz,,10,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,13,,18,,15,,13,,7,,12,,10
acc,acc nz,acc business,acc co,,business acc co nz,,3,,0,0,,,10,,,10,,16,10,,,12,,,14,,10,13,,13,14,,16,,13,9,,16,20,,18,23,,18,,7,13,,,,,7,3,,3,,
acc,acc nz,acc business,,,business acc nz,,3,,0,0,,,,,,,,,8,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,,3,,3
acc,acc nz,acc claim,claim,,acc claims nz,,30,,0,0,,,,55,,,34,,,,29,,,,,26,,22,22,,19,19,,18,,22,18,,25,25,,29,31,,56,,63,,51,,55,38,,31,,30,
acc,acc nz,acc claim,acc co,claim,claims acc co nz,,21,,0,0,,,,57,,39,,,32,,36,,,29,,25,,31,26,,24,18,,21,30,,23,,31,45,,49,,36,47,,48,,35,,24,,23,,23,,21
acc,acc nz,acc co,,,acc co nz login,,15,,0,0,,,46,,,32,,33,33,,,29,,,28,,22,,22,,16,24,,21,19,,18,,21,24,,25,,21,27,,38,,32,,53,,16,,13,,15
acc,acc nz,acc co,,,acc co nz pay levy,,4,,0,0,,,10,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
acc,acc nz,acc contact,,,acc contact number nz,,27,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,35,,19,,20,,27,
acc,acc nz,acc contact,,,acc nz contact,,51,,0,0,,,,,,52,,56,,,,,,,,,46,,41,45,,60,31,,24,43,,39,,33,29,,38,48,,45,48,,59,,,62,,41,,51,
acc,acc nz,acc payments,,,acc nz payments,,8,,0,0,,,,,,7,,7,,,,5,,,7,,6,,6,6,,7,7,,5,6,,8,,4,6,,8,7,,8,,,10,,,8,,6,,8,
acc,acc nz,careers,,,acc nz careers,,40,,0,0,,,,,,,,28,,28,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,32,,,,40,,
acc,acc nz,phone,,,acc phone number nz,,39,,0,0,,,,,,,,,,,,,,,,,,,,,,,28,,33,26,,27,,27,45,,52,56,,46,30,,35,,,21,,20,,39,
acc,acc nz,phone,,,acc nz phone number,,44,,0,0,,,,,,,34,,,,,,,,,29,,,,,,34,,,,43,40,,45,,,,38,,25,,44,,36,,,,,,28,,44
acc,acc payments,,,,acc payments on public holidays,,29,,0,0,,,,14,,,14,,13,,11,,,11,,13,,17,17,,18,17,,15,,4,16,,15,,16,,,,20,25,,33,,31,,23,,29,,29,
acc,acc payments,,,,acc payment calculator,,7,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,11,,6,,8,,6,,6,,7
acc,acc payments,,,,acc payments,,7,,0,0,,,,,,8,8,,7,,,6,,,6,7,,6,,6,5,,4,5,,5,,5,5,,4,11,,6,,10,10,,10,,8,,1,,7,,7
acc,acc payments,,,,acc lump sum payment amounts,,40,,0,0,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,75,,59,,49,,86,,80,,40,
acc,acc payments,,,,acc payments for injury,,16,,0,0,,,,,,16,,19,,13,,,8,,,11,,7,9,,12,12,,6,,16,8,,14,15,,19,,16,17,,17,,17,,24,,8,,22,,16
